cars,motorcycles,buses,trucks,total_vehicles,average_movement,road_occupancy,congestion_level
10,6,0,2,18,96.6,19.85,LOW
19,11,3,3,36,38.17,39.73,MEDIUM
17,9,3,3,32,34.49,37.74,MEDIUM
24,19,7,9,59,21.9,84.47,HIGH
6,2,0,1,9,157.15,16.05,LOW
18,4,2,0,24,109.13,25.62,LOW
6,4,3,0,13,116.34,17.81,LOW
8,0,1,0,9,98.35,5.43,LOW
17,4,2,3,26,56.45,45.43,MEDIUM
34,18,4,9,65,3.77,74.85,HIGH
6,9,0,1,16,105.67,15.09,LOW
6,8,0,1,15,124.83,13.14,LOW
17,11,3,2,33,62.78,53.62,MEDIUM
18,11,2,3,34,44.04,40.54,MEDIUM
6,3,0,3,12,119.55,17.58,LOW
9,6,0,1,16,97.92,15.88,LOW
34,14,2,6,56,12.24,79.9,HIGH
25,10,2,5,42,11.81,65.3,HIGH
24,14,6,6,50,29.64,83.23,HIGH
43,12,8,2,65,27.41,70.65,HIGH
43,11,2,6,62,10.28,76.89,HIGH
28,14,2,3,47,34.48,46.58,MEDIUM
28,14,4,2,48,27.7,65.89,HIGH
13,0,2,1,16,85.46,17.77,LOW
41,22,3,5,71,8.75,72.17,HIGH
10,4,2,0,16,71.86,10.85,LOW
27,16,2,6,51,12.64,96.0,HIGH
8,5,1,0,14,103.57,4.99,LOW
9,5,1,0,15,74.62,12.48,LOW
28,10,3,3,44,34.77,55.62,MEDIUM
9,3,0,0,12,95.27,20.1,LOW
34,16,5,8,63,14.34,72.92,HIGH
40,13,2,8,63,21.32,58.31,HIGH
12,13,2,3,30,39.63,52.24,MEDIUM
40,17,5,5,67,19.15,71.64,HIGH
12,4,2,3,21,25.0,38.0,MEDIUM
10,5,1,1,17,125.87,21.66,LOW
33,13,5,2,53,19.46,77.45,HIGH
36,18,7,4,65,23.64,69.07,HIGH
3,0,1,1,5,95.59,3.0,LOW
15,6,0,1,22,85.63,19.72,LOW
31,9,2,5,47,16.95,73.53,HIGH
20,15,3,2,40,66.84,47.58,MEDIUM
41,17,3,9,70,16.61,64.67,HIGH
12,16,1,2,31,44.85,46.71,MEDIUM
13,4,0,2,19,94.86,25.96,LOW
10,0,0,2,12,111.61,8.53,LOW
24,8,5,6,43,14.01,73.04,HIGH
28,10,2,1,41,47.73,49.37,MEDIUM
29,13,3,3,48,54.73,28.0,MEDIUM
32,25,7,6,70,2.0,70.75,HIGH
42,18,5,6,71,18.8,75.81,HIGH
25,18,8,6,57,17.94,74.08,HIGH
24,15,7,5,51,21.1,77.16,HIGH
12,12,2,1,27,124.87,20.12,LOW
39,12,4,5,60,17.05,74.88,HIGH
42,8,4,6,60,9.57,89.58,HIGH
17,12,4,2,35,45.06,51.23,MEDIUM
24,19,3,6,52,7.25,71.61,HIGH
26,20,5,5,56,19.95,88.72,HIGH
16,4,3,1,24,63.84,53.09,MEDIUM
53,14,7,8,82,17.53,66.42,HIGH
11,3,0,0,14,98.69,3.0,LOW
37,8,4,6,55,27.93,64.03,HIGH
8,9,0,1,18,125.2,16.12,LOW
29,19,7,5,60,21.3,58.0,HIGH
31,26,3,10,70,16.24,61.62,HIGH
36,20,6,4,66,21.2,68.26,HIGH
6,9,0,2,17,141.15,3.0,LOW
5,6,0,1,12,109.62,18.48,LOW
29,24,4,6,63,23.49,85.45,HIGH
9,5,0,1,15,157.05,23.07,LOW
22,12,5,1,40,55.68,34.59,MEDIUM
19,11,3,1,34,47.24,35.19,MEDIUM
28,9,2,6,45,14.5,77.41,HIGH
16,11,4,1,32,56.03,28.0,MEDIUM
33,13,7,4,57,8.74,79.99,HIGH
26,8,3,7,44,19.62,72.01,HIGH
7,8,1,1,17,100.91,14.66,LOW
9,4,1,1,15,89.54,27.55,LOW
2,7,1,3,13,102.31,16.31,LOW
21,4,4,4,33,47.25,41.65,MEDIUM
52,16,3,11,82,6.77,74.18,HIGH
5,1,0,0,6,110.85,10.38,LOW
18,4,3,2,27,75.0,46.56,MEDIUM
34,13,4,8,59,13.65,61.93,HIGH
40,13,3,5,61,7.76,90.38,HIGH
9,0,1,0,10,93.08,18.67,LOW
39,15,7,7,68,2.0,69.23,HIGH
4,4,0,1,9,167.87,3.8,LOW
22,4,3,1,30,57.51,49.08,MEDIUM
26,4,3,2,35,33.02,43.75,MEDIUM
3,10,2,1,16,104.34,9.24,LOW
7,2,0,1,10,104.38,11.1,LOW
31,19,2,8,60,7.64,76.57,HIGH
21,15,3,4,43,55.6,52.77,MEDIUM
18,4,2,3,27,53.86,43.34,MEDIUM
37,13,6,3,59,9.7,65.32,HIGH
33,8,2,6,49,20.3,77.38,HIGH
9,0,1,0,10,69.62,21.99,LOW
18,7,3,3,31,64.31,31.94,MEDIUM
1,7,1,0,9,102.27,10.49,LOW
17,13,2,2,34,50.3,28.0,MEDIUM
9,3,1,2,15,114.78,15.28,LOW
46,16,2,5,69,8.68,78.26,HIGH
16,7,3,1,27,69.31,48.63,MEDIUM
29,13,3,4,49,13.57,80.94,HIGH
21,6,3,1,31,63.21,50.49,MEDIUM
24,14,4,7,49,17.56,63.21,HIGH
27,13,3,2,45,39.33,49.64,MEDIUM
6,8,1,2,17,124.6,12.84,LOW
5,5,0,2,12,173.17,11.81,LOW
34,15,7,3,59,10.66,83.33,HIGH
30,8,7,9,54,12.13,71.71,HIGH
31,19,7,5,62,13.62,78.5,HIGH
17,7,2,2,28,63.4,43.49,MEDIUM
17,15,3,3,38,57.47,32.89,MEDIUM
19,11,3,2,35,35.56,33.66,MEDIUM
0,8,0,0,8,95.11,23.25,LOW
17,4,1,2,24,137.64,22.12,LOW
14,8,0,0,22,94.38,15.16,LOW
24,20,2,5,51,14.2,73.37,HIGH
23,8,3,3,37,55.34,35.39,MEDIUM
5,6,1,0,12,148.69,25.78,LOW
34,11,4,3,52,25.74,61.8,HIGH
11,0,0,1,12,85.44,13.65,LOW
20,11,3,1,35,51.93,58.0,MEDIUM
14,4,2,2,22,134.96,12.41,LOW
14,8,2,1,25,111.89,5.39,LOW
16,10,2,2,30,70.08,52.72,MEDIUM
9,0,2,1,12,116.4,20.9,LOW
11,6,1,0,18,162.21,14.16,LOW
5,7,0,2,14,93.16,16.67,LOW
17,8,3,3,31,52.37,44.49,MEDIUM
7,6,0,0,13,128.06,12.76,LOW
19,7,2,4,32,34.92,48.51,MEDIUM
29,17,7,2,55,18.87,71.51,HIGH
30,16,6,2,54,15.94,75.42,HIGH
34,21,5,5,65,11.79,68.3,HIGH
46,19,5,5,75,16.54,69.39,HIGH
42,17,5,5,69,12.38,75.96,HIGH
10,0,0,0,10,108.14,18.72,LOW
19,10,2,4,35,35.89,45.9,MEDIUM
14,6,4,3,27,56.62,44.72,MEDIUM
39,15,7,5,66,22.69,73.65,HIGH
31,24,3,7,65,18.49,85.35,HIGH
30,15,2,2,49,17.4,79.48,HIGH
31,21,8,6,66,16.58,74.33,HIGH
8,1,0,0,9,94.76,13.88,LOW
25,8,2,1,36,43.7,45.95,MEDIUM
32,21,4,10,67,19.02,62.52,HIGH
30,11,4,4,49,13.08,77.1,HIGH
31,12,7,4,54,10.36,74.68,HIGH
43,8,6,7,64,7.32,60.47,HIGH
15,9,1,3,28,67.15,30.21,MEDIUM
41,15,3,2,61,21.74,77.82,HIGH
27,24,3,6,60,21.54,68.86,HIGH
24,7,2,1,34,55.27,48.23,MEDIUM
27,20,5,5,57,2.67,87.0,HIGH
28,6,2,3,39,35.57,38.83,MEDIUM
5,2,0,0,7,113.07,24.75,LOW
26,17,7,5,55,25.46,85.63,HIGH
18,4,3,3,28,39.11,54.15,MEDIUM
26,6,3,3,38,53.17,52.18,MEDIUM
6,3,0,0,9,82.24,25.51,LOW
37,15,3,6,61,15.58,84.15,HIGH
16,5,0,1,22,76.32,9.17,LOW
37,18,5,4,64,12.4,63.21,HIGH
15,9,2,1,27,53.1,43.7,MEDIUM
29,14,8,7,58,22.04,61.25,HIGH
17,12,3,3,35,73.72,29.49,MEDIUM
29,11,2,5,47,14.41,80.44,HIGH
37,14,2,3,56,20.97,74.18,HIGH
12,3,0,1,16,139.64,19.31,LOW
30,18,5,6,59,16.57,73.66,HIGH
45,18,6,5,74,21.25,76.51,HIGH
12,6,0,1,19,70.73,8.24,LOW
20,13,3,3,39,40.4,28.0,MEDIUM
20,12,3,1,36,60.43,49.1,MEDIUM
25,8,3,6,42,16.72,75.34,HIGH
36,21,3,8,68,15.36,66.01,HIGH
19,4,2,4,29,50.25,43.85,MEDIUM
11,8,0,0,19,88.05,10.04,LOW
30,10,6,6,52,16.75,77.49,HIGH
15,13,3,3,34,38.3,52.43,MEDIUM
21,9,3,2,35,48.03,43.7,MEDIUM
11,0,1,2,14,84.99,10.93,LOW
24,8,1,3,36,55.24,45.23,MEDIUM
29,18,3,2,52,56.41,49.1,MEDIUM
11,0,0,1,12,75.83,13.65,LOW
38,8,4,9,59,10.63,68.57,HIGH
39,13,3,9,64,17.59,79.72,HIGH
27,8,2,2,39,72.85,55.01,MEDIUM
12,4,2,1,19,43.9,40.82,MEDIUM
12,7,3,2,24,50.71,45.57,MEDIUM
15,8,4,3,30,38.38,39.52,MEDIUM
39,16,2,4,61,20.71,75.5,HIGH
36,11,4,4,55,13.59,70.63,HIGH
30,12,5,5,52,20.82,68.48,HIGH
25,9,6,5,45,47.82,41.15,MEDIUM
38,20,5,6,69,4.92,74.45,HIGH
39,14,4,5,62,10.08,73.87,HIGH
13,10,1,1,25,41.13,51.54,MEDIUM
35,21,5,8,69,9.04,75.22,HIGH
13,9,3,4,29,58.47,40.06,MEDIUM
35,8,2,6,51,13.31,75.82,HIGH
20,14,3,1,38,45.06,43.06,MEDIUM
35,11,6,6,58,2.0,81.04,HIGH
9,4,0,0,13,95.58,19.53,LOW
8,12,1,0,21,128.83,17.29,LOW
32,15,5,6,58,24.99,58.0,HIGH
7,8,1,1,17,124.24,17.69,LOW
22,11,2,2,37,48.67,34.83,MEDIUM
10,8,1,1,20,102.12,19.55,LOW
20,18,1,4,43,47.93,48.18,MEDIUM
10,3,0,3,16,153.19,17.62,LOW
18,8,3,3,32,35.85,43.38,MEDIUM
27,18,2,4,51,13.69,89.07,HIGH
42,13,6,6,67,15.13,72.1,HIGH
35,10,6,10,61,15.88,78.55,HIGH
31,8,6,7,52,3.89,86.0,HIGH
42,20,5,8,75,9.85,77.14,HIGH
8,10,1,0,19,130.74,3.0,LOW
22,7,5,4,38,52.55,50.22,MEDIUM
10,8,1,0,19,119.99,11.09,LOW
43,17,7,6,73,7.9,62.0,HIGH
23,5,2,2,32,45.35,38.69,MEDIUM
39,24,5,6,74,5.37,58.0,HIGH
23,6,3,2,34,53.04,48.56,MEDIUM
25,18,3,2,48,31.41,44.06,MEDIUM
38,8,3,5,54,17.79,84.74,HIGH
14,3,1,2,20,100.52,13.78,LOW
23,4,4,3,34,45.57,43.15,MEDIUM
28,17,2,5,52,23.21,81.17,HIGH
21,9,3,2,35,47.24,34.61,MEDIUM
33,22,5,8,68,14.49,82.44,HIGH
35,12,2,4,53,6.26,89.34,HIGH
7,2,1,0,10,110.7,14.95,LOW
5,5,0,1,11,94.98,13.25,LOW
39,11,5,2,57,26.09,69.39,HIGH
26,5,2,2,35,33.25,46.73,MEDIUM
28,8,3,6,45,6.56,74.14,HIGH
14,13,2,3,32,50.88,40.8,MEDIUM
35,13,2,2,52,17.59,68.95,HIGH
25,10,3,3,41,39.66,42.24,MEDIUM
24,16,4,2,46,18.83,80.44,HIGH
34,16,2,4,56,25.46,81.98,HIGH
11,2,1,0,14,121.97,17.0,LOW
34,17,5,7,63,22.46,64.54,HIGH
36,21,3,10,70,12.32,74.29,HIGH
13,11,3,2,29,51.69,54.71,MEDIUM
19,13,2,1,35,71.0,53.05,MEDIUM
13,4,2,4,23,31.77,28.0,MEDIUM
14,1,3,0,18,106.21,18.53,LOW
8,1,1,1,11,87.9,15.92,LOW
40,11,6,8,65,22.03,76.26,HIGH
40,27,9,4,80,27.37,77.45,HIGH
8,3,1,1,13,111.22,15.24,LOW
6,4,1,0,11,141.39,9.63,LOW
12,2,1,1,16,130.55,26.38,LOW
30,19,7,7,63,27.33,77.74,HIGH
10,3,3,0,16,128.55,16.8,LOW
24,15,2,2,43,30.33,38.86,MEDIUM
37,20,3,2,62,19.66,63.02,HIGH
17,9,3,2,31,41.89,42.27,MEDIUM
9,10,0,0,19,109.51,13.18,LOW
13,4,3,3,23,56.59,39.96,MEDIUM
41,13,6,11,71,15.27,77.54,HIGH
17,6,3,2,28,62.72,46.94,MEDIUM
21,18,1,2,42,57.69,42.98,MEDIUM
14,18,4,3,39,50.86,40.3,MEDIUM
6,4,0,0,10,84.9,10.39,LOW
13,7,3,0,23,131.81,16.1,LOW
26,9,3,2,40,29.55,34.6,MEDIUM
12,6,2,3,23,25.0,40.7,MEDIUM
5,10,1,0,16,125.81,20.84,LOW
24,13,4,4,45,24.7,85.05,HIGH
17,7,3,2,29,48.33,47.92,MEDIUM
44,16,2,8,70,21.12,78.85,HIGH
39,11,5,3,58,19.16,70.8,HIGH
4,5,1,2,12,133.76,11.54,LOW
26,17,3,3,49,6.62,77.89,HIGH
4,3,1,1,9,96.76,18.08,LOW
3,7,1,0,11,77.99,20.23,LOW
4,4,1,1,10,79.99,12.99,LOW
22,16,2,4,44,61.19,40.11,MEDIUM
14,5,3,1,23,58.0,45.7,MEDIUM
10,1,2,0,13,117.57,10.47,LOW
31,20,5,4,60,15.96,81.06,HIGH
11,4,1,1,17,93.3,20.95,LOW
35,10,3,6,54,23.73,71.69,HIGH
11,7,2,1,21,127.05,13.14,LOW
25,19,7,11,62,7.6,80.29,HIGH
26,4,1,3,34,71.61,51.91,MEDIUM
41,16,5,4,66,11.87,69.87,HIGH
32,21,2,8,63,17.08,70.97,HIGH
30,16,4,2,52,9.42,68.95,HIGH
8,10,0,1,19,91.44,7.08,LOW
38,8,3,3,52,14.21,69.16,HIGH
10,7,1,2,20,81.46,13.84,LOW
36,14,6,7,63,18.15,66.58,HIGH
19,11,2,2,34,47.53,36.03,MEDIUM
26,16,3,2,47,73.84,37.75,MEDIUM
46,19,5,6,76,9.01,88.61,HIGH
29,9,3,5,46,8.55,73.91,HIGH
32,11,6,9,58,6.89,58.0,HIGH
7,12,1,0,20,99.34,21.89,LOW
5,3,0,2,10,78.9,10.84,LOW
5,10,0,0,15,113.2,10.91,LOW
24,4,4,3,35,66.8,31.26,MEDIUM
41,19,2,10,72,18.07,67.01,HIGH
13,13,3,1,30,59.83,54.3,MEDIUM
40,8,5,7,60,29.0,69.66,HIGH
16,9,4,3,32,43.63,45.87,MEDIUM
31,17,2,5,55,23.68,58.0,HIGH
30,12,7,6,55,5.19,69.15,HIGH
1,9,0,0,10,84.7,5.07,LOW
12,6,2,2,22,73.67,30.91,MEDIUM
24,12,3,3,42,50.08,36.72,MEDIUM
14,7,0,1,22,98.41,12.21,LOW
28,18,8,5,59,18.29,82.57,HIGH
25,8,5,8,46,5.0,83.73,HIGH
17,10,3,3,33,49.07,32.44,MEDIUM
7,2,0,1,10,91.09,6.47,LOW
5,0,0,3,8,89.91,24.83,LOW
2,2,1,1,6,122.88,28.0,LOW
33,19,5,7,64,20.92,93.39,HIGH
22,14,1,2,39,46.54,35.73,MEDIUM
15,11,2,2,30,38.05,47.21,MEDIUM
29,10,4,4,47,41.09,38.12,MEDIUM
22,10,2,3,37,71.65,40.47,MEDIUM
10,4,1,0,15,112.16,14.07,LOW
25,18,3,2,48,49.69,28.0,MEDIUM
28,24,6,6,64,25.46,60.39,HIGH
25,7,2,3,37,60.34,43.11,MEDIUM
24,14,3,3,44,42.59,39.47,MEDIUM
32,11,5,4,52,26.37,71.45,HIGH
5,6,2,1,14,117.72,25.21,LOW
8,0,0,1,9,146.95,11.89,LOW
10,5,0,0,15,107.79,12.78,LOW
15,7,5,3,30,59.39,35.67,MEDIUM
22,16,2,3,43,36.9,38.9,MEDIUM
16,1,1,2,20,108.01,17.71,LOW
15,6,0,1,22,144.98,20.55,LOW
38,8,4,4,54,21.8,83.64,HIGH
29,20,6,7,62,15.14,79.42,HIGH
24,10,1,2,37,53.62,43.4,MEDIUM
36,11,3,8,58,21.79,75.42,HIGH
12,13,2,1,28,44.6,52.06,MEDIUM
24,22,6,2,54,5.65,89.05,HIGH
12,8,3,3,26,43.88,42.28,MEDIUM
33,16,5,10,64,2.0,80.15,HIGH
13,7,0,0,20,104.77,9.9,LOW
22,15,5,2,44,55.9,46.56,MEDIUM
28,13,4,3,48,10.28,63.8,HIGH
27,17,1,1,46,46.64,34.28,MEDIUM
33,8,4,3,48,11.75,72.76,HIGH
7,7,2,0,16,124.94,19.21,LOW
41,18,4,5,68,19.57,85.45,HIGH
24,13,7,2,46,2.0,79.14,HIGH
17,13,1,3,34,64.62,37.89,MEDIUM
41,16,7,5,69,8.31,86.78,HIGH
21,8,2,2,33,31.83,44.57,MEDIUM
5,4,1,2,12,131.44,14.04,LOW
21,5,2,2,30,42.71,37.69,MEDIUM
14,4,1,1,20,41.49,57.63,MEDIUM
38,19,3,4,64,11.98,78.83,HIGH
29,18,4,2,53,18.94,68.8,HIGH
5,0,0,0,5,147.84,18.78,LOW
4,3,1,0,8,71.23,15.41,LOW
1,2,1,2,6,79.14,11.45,LOW
19,8,3,2,32,36.43,46.98,MEDIUM
10,8,1,1,20,107.76,23.64,LOW
8,8,0,2,18,142.93,14.29,LOW
33,16,7,5,61,11.98,71.47,HIGH
3,0,2,0,5,85.22,3.0,LOW
18,17,3,3,41,57.99,45.37,MEDIUM
41,10,6,7,64,2.62,74.84,HIGH
13,12,2,4,31,73.91,35.87,MEDIUM
20,4,2,1,27,64.47,48.22,MEDIUM
21,10,3,2,36,54.69,41.17,MEDIUM
35,14,7,2,58,15.88,73.05,HIGH
11,6,0,2,19,80.16,20.51,LOW
21,4,5,4,34,45.23,33.18,MEDIUM
8,0,1,1,10,123.99,21.48,LOW
22,5,4,4,35,75.0,33.01,MEDIUM
31,18,6,7,62,28.65,78.56,HIGH
12,3,0,0,15,98.89,17.26,LOW
12,13,1,3,29,50.17,34.37,MEDIUM
5,6,0,0,11,69.31,15.29,LOW
21,9,4,4,38,44.41,40.79,MEDIUM
4,0,0,1,5,133.83,18.08,LOW
4,1,0,1,6,82.42,3.0,LOW
22,4,2,3,31,52.21,58.0,MEDIUM
8,6,0,0,14,114.9,9.13,LOW
23,6,5,3,37,65.3,40.79,MEDIUM
11,2,2,0,15,124.67,28.0,LOW
36,10,3,4,53,16.77,68.36,HIGH
4,7,2,0,13,80.42,3.0,LOW
11,5,0,0,16,101.61,25.01,LOW
8,0,1,0,9,156.83,21.48,LOW
36,8,4,6,54,21.56,82.76,HIGH
23,5,2,2,32,57.19,47.35,MEDIUM
9,1,3,1,14,112.73,19.35,LOW
